County,State,FIPS Code,Population,Area,Density,NT1_Est
Anderson County,Tennessee,47001,81449,338,241,10.262574
Bedford County,Tennessee,47003,54228,474,114,6.832728
Benton County,Tennessee,47005,16173,394,41,2.037798
Bledsoe County,Tennessee,47007,15591,406,38,1.964466
Blount County,Tennessee,47009,142211,559,254,17.918586
Bradley County,Tennessee,47011,113782,329,346,14.336532
Campbell County,Tennessee,47013,40238,480,84,5.069988
Cannon County,Tennessee,47015,15142,266,57,1.907892
Carroll County,Tennessee,47017,29107,599,49,3.667482
Carter County,Tennessee,47019,57434,341,168,7.236684
Cheatham County,Tennessee,47021,42604,303,141,5.368104
Chester County,Tennessee,47023,17876,289,62,2.252376
Claiborne County,Tennessee,47025,33070,434,76,4.16682
Clay County,Tennessee,47027,7857,236,33,0.989982
Cocke County,Tennessee,47029,37596,434,87,4.737096
Coffee County,Tennessee,47031,61285,429,143,7.72191
Crockett County,Tennessee,47033,13973,265,53,1.760598
Cumberland County,Tennessee,47035,65618,682,96,8.267868
Davidson County,Tennessee,47037,729505,502,1453,91.91763
Decatur County,Tennessee,47039,11800,333,35,1.4868
DeKalb County,Tennessee,47041,21747,304,72,2.740122
Dickson County,Tennessee,47043,57641,490,118,7.262766
Dyer County,Tennessee,47045,36403,510,71,4.586778
Fayette County,Tennessee,47047,44476,705,63,5.603976
Fentress County,Tennessee,47049,20129,499,40,2.536254
Franklin County,Tennessee,47051,45137,553,82,5.687262
Gibson County,Tennessee,47053,51422,603,85,6.479172
Giles County,Tennessee,47055,30971,611,51,3.902346
Grainger County,Tennessee,47057,25073,280,90,3.159198
Greene County,Tennessee,47059,73398,622,118,9.248148
Grundy County,Tennessee,47061,14148,361,39,1.782648
Hamblen County,Tennessee,47063,67715,161,421,8.53209
Hamilton County,Tennessee,47065,386256,543,711,48.668256
Hancock County,Tennessee,47067,7038,222,32,0.886788
Hardeman County,Tennessee,47069,25434,668,38,3.204684
Hardin County,Tennessee,47071,27617,578,48,3.479742
Hawkins County,Tennessee,47073,59371,487,122,7.480746
Haywood County,Tennessee,47075,17097,533,32,2.154222
Henderson County,Tennessee,47077,28183,520,54,3.551058
Henry County,Tennessee,47079,32883,562,59,4.143258
Hickman County,Tennessee,47081,25859,613,42,3.258234
Houston County,Tennessee,47083,8538,200,43,1.075788
Humphreys County,Tennessee,47085,19554,532,37,2.463804
Jackson County,Tennessee,47087,12376,309,40,1.559376
Jefferson County,Tennessee,47089,59217,274,216,7.461342
Johnson County,Tennessee,47091,18506,299,62,2.331756
Knox County,Tennessee,47093,506748,509,996,63.850248
Lake County,Tennessee,47095,6422,163,39,0.809172
Lauderdale County,Tennessee,47097,24630,470,52,3.10338
Lawrence County,Tennessee,47099,46467,617,75,5.854842
Lewis County,Tennessee,47101,13418,282,48,1.690668
Lincoln County,Tennessee,47103,36751,570,64,4.630626
Loudon County,Tennessee,47105,62129,229,271,7.828254
Macon County,Tennessee,47111,27189,307,89,3.425814
Madison County,Tennessee,47113,100409,557,180,12.651534
Marion County,Tennessee,47115,29826,500,60,3.758076
Marshall County,Tennessee,47117,37847,375,101,4.768722
Maury County,Tennessee,47119,113411,613,185,14.289786
McMinn County,Tennessee,47107,56754,430,132,7.151004
McNairy County,Tennessee,47109,26103,560,47,3.288978
Meigs County,Tennessee,47121,13937,195,71,1.756062
Monroe County,Tennessee,47123,49154,635,77,6.193404
Montgomery County,Tennessee,47125,246025,539,456,30.99915
Moore County,Tennessee,47127,6773,129,53,0.853398
Morgan County,Tennessee,47129,21954,522,42,2.766204
Obion County,Tennessee,47131,30261,545,56,3.812886
Overton County,Tennessee,47133,23551,433,54,2.967426
Perry County,Tennessee,47135,8987,415,22,1.132362
Pickett County,Tennessee,47137,5108,163,31,0.643608
Polk County,Tennessee,47139,18338,435,42,2.310588
Putnam County,Tennessee,47141,84894,401,212,10.696644
Rhea County,Tennessee,47143,34759,316,110,4.379634
Roane County,Tennessee,47145,56742,361,157,7.149492
Robertson County,Tennessee,47147,78459,477,164,9.885834
Rutherford County,Tennessee,47149,376996,619,609,47.501496
Scott County,Tennessee,47151,22517,532,42,2.837142
Sequatchie County,Tennessee,47153,17620,266,66,2.22012
Sevier County,Tennessee,47155,100184,592,169,12.623184
Shelby County,Tennessee,47157,910530,755,1206,114.72678
Smith County,Tennessee,47159,20783,314,66,2.618658
Stewart County,Tennessee,47161,14365,458,31,1.80999
Sullivan County,Tennessee,47163,162703,413,394,20.500578
Sumner County,Tennessee,47165,211721,529,400,26.676846
Tipton County,Tennessee,47167,62187,459,135,7.835562
Trousdale County,Tennessee,47169,12159,114,107,1.532034
Unicoi County,Tennessee,47171,17872,186,96,2.251872
Union County,Tennessee,47173,21064,224,94,2.654064
Van Buren County,Tennessee,47175,6686,247,27,0.842436
Warren County,Tennessee,47177,43619,433,101,5.495994
Washington County,Tennessee,47179,139642,326,428,17.594892
Wayne County,Tennessee,47181,15974,734,22,2.012724
Weakley County,Tennessee,47183,33162,580,57,4.178412
White County,Tennessee,47185,29108,377,77,3.667608
Williamson County,Tennessee,47187,269136,582,462,33.911136
Wilson County,Tennessee,47189,169948,571,298,21.413448
Adams County,Indiana,18001,36584,339,108,4.609584
Allen County,Indiana,18003,399295,657,608,50.31117
Bartholomew County,Indiana,18005,84741,407,208,10.677366
Benton County,Indiana,18007,8853,406,22,1.115478
Blackford County,Indiana,18009,11816,165,72,1.488816
Boone County,Indiana,18011,78773,423,186,9.925398
Brown County,Indiana,18013,15650,312,50,1.9719
Carroll County,Indiana,18015,20747,372,56,2.614122
Cass County,Indiana,18017,37559,412,91,4.732434
Clark County,Indiana,18019,127479,373,342,16.062354
Clay County,Indiana,18021,26424,358,74,3.329424
Clinton County,Indiana,18023,32895,405,81,4.14477
Crawford County,Indiana,18025,10523,306,34,1.325898
Daviess County,Indiana,18027,34097,429,79,4.296222
Dearborn County,Indiana,18029,51435,305,169,6.48081
Decatur County,Indiana,18031,26421,373,71,3.329046
DeKalb County,Indiana,18033,44330,363,122,5.58558
Delaware County,Indiana,18035,112951,392,288,14.231826
Dubois County,Indiana,18037,43629,427,102,5.497254
Elkhart County,Indiana,18039,207436,463,448,26.136936
Fayette County,Indiana,18041,23335,215,109,2.94021
Floyd County,Indiana,18043,81931,148,554,10.323306
Fountain County,Indiana,18045,16833,396,43,2.120958
Franklin County,Indiana,18047,23136,384,60,2.915136
Fulton County,Indiana,18049,20004,368,54,2.520504
Gibson County,Indiana,18051,33038,487,68,4.162788
Grant County,Indiana,18053,66458,414,161,8.373708
Greene County,Indiana,18055,31219,543,57,3.933594
Hamilton County,Indiana,18057,379704,394,964,47.842704
Hancock County,Indiana,18059,88810,306,290,11.19006
Harrison County,Indiana,18061,39978,485,82,5.037228
Hendricks County,Indiana,18063,190629,407,468,24.019254
Henry County,Indiana,18065,49081,392,125,6.184206
Howard County,Indiana,18067,84082,293,287,10.594332
Huntington County,Indiana,18069,36944,383,96,4.654944
Jackson County,Indiana,18071,47420,509,93,5.97492
Jasper County,Indiana,18073,33387,560,60,4.206762
Jay County,Indiana,18075,20164,384,53,2.540664
Jefferson County,Indiana,18077,32921,361,91,4.148046
Jennings County,Indiana,18079,27634,377,73,3.481884
Johnson County,Indiana,18081,170614,320,533,21.497364
Knox County,Indiana,18083,35872,516,70,4.519872
Kosciusko County,Indiana,18085,80669,531,152,10.164294
LaGrange County,Indiana,18087,41122,380,108,5.181372
Lake County,Indiana,18089,502955,499,1008,63.37233
LaPorte County,Indiana,18091,111348,598,186,14.029848
Lawrence County,Indiana,18093,45192,449,101,5.694192
Madison County,Indiana,18095,134222,452,297,16.911972
Marion County,Indiana,18097,981628,396,2479,123.685128
Marshall County,Indiana,18099,46464,444,105,5.854464
Martin County,Indiana,18101,9864,336,29,1.242864
Miami County,Indiana,18103,35613,374,95,4.487238
Monroe County,Indiana,18105,140702,395,356,17.728452
Montgomery County,Indiana,18107,38633,505,77,4.867758
Morgan County,Indiana,18109,73825,404,183,9.30195
Newton County,Indiana,18111,14131,402,35,1.780506
Noble County,Indiana,18113,47811,411,116,6.024186
Ohio County,Indiana,18115,5996,86,70,0.755496
Orange County,Indiana,18117,19824,398,50,2.497824
Owen County,Indiana,18119,21851,385,57,2.753226
Parke County,Indiana,18121,16508,445,37,2.080008
Perry County,Indiana,18123,19320,382,51,2.43432
Pike County,Indiana,18125,12116,334,36,1.526616
Porter County,Indiana,18127,175860,418,421,22.15836
Posey County,Indiana,18129,25067,410,61,3.158442
Pulaski County,Indiana,18131,12421,434,29,1.565046
Putnam County,Indiana,18133,37804,481,79,4.763304
Randolph County,Indiana,18135,24337,452,54,3.066462
Ripley County,Indiana,18137,29214,446,66,3.680964
Rush County,Indiana,18139,16759,408,41,2.111634
St. Joseph County,Indiana,18141,273744,458,598,34.491744
Scott County,Indiana,18143,24751,190,130,3.118626
